gene_id,count,mean,std,min,25%,50%,75%,max
ENSG00000121410_A1BG,70988.0,0.08604799956083298,0.5646587610244751,0.0,0.0,0.0,0.0,5.402542591094971
ENSG00000268895_A1BG-AS1,70988.0,0.19911044836044312,0.8433761596679688,0.0,0.0,0.0,0.0,5.697094440460205
ENSG00000175899_A2M,70988.0,0.017555562779307365,0.26329559087753296,0.0,0.0,0.0,0.0,6.385897636413574
ENSG00000245105_A2M-AS1,70988.0,0.16733790934085846,0.7831396460533142,0.0,0.0,0.0,0.0,5.565942764282227
ENSG00000166535_A2ML1,70988.0,0.0013460776535794139,0.0718541070818901,0.0,0.0,0.0,0.0,4.376676082611084
ENSG00000128274_A4GALT,70988.0,0.09662851691246033,0.5960861444473267,0.0,0.0,0.0,0.0,5.57405948638916
ENSG00000094914_AAAS,70988.0,1.7329552173614502,1.977420687675476,0.0,0.0,0.0,3.816849172115326,5.8981757164001465
ENSG00000081760_AACS,70988.0,1.6401681900024414,1.9823174476623535,0.0,0.0,0.0,3.7882772088050842,6.218979358673096
ENSG00000109576_AADAT,70988.0,0.28622204065322876,1.0038456916809082,0.0,0.0,0.0,0.0,5.365835189819336
ENSG00000103591_AAGAB,70988.0,1.2768292427062988,1.8298269510269165,0.0,0.0,0.0,3.5304139852523804,5.7489213943481445
ENSG00000115977_AAK1,70988.0,2.305757761001587,2.1089701652526855,0.0,0.0,3.460422396659851,4.164185404777527,6.70231819152832
ENSG00000087884_AAMDC,70988.0,2.295778512954712,2.0583930015563965,0.0,0.0,3.4601686000823975,4.107121229171753,6.055532932281494
ENSG00000127837_AAMP,70988.0,2.8138880729675293,2.020308494567871,0.0,0.0,3.810532569885254,4.378345608711243,6.076709747314453
ENSG00000129673_AANAT,70988.0,0.00620506564155221,0.1533169001340866,0.0,0.0,0.0,0.0,4.451972961425781
ENSG00000131043_AAR2,70988.0,0.9506573677062988,1.6543047428131104,0.0,0.0,0.0,3.0545201897621155,5.575586318969727
ENSG00000205002_AARD,70988.0,0.02586134895682335,0.3165266811847687,0.0,0.0,0.0,0.0,5.669844627380371
ENSG00000090861_AARS,70988.0,2.0350635051727295,2.0512795448303223,0.0,0.0,3.114309310913086,3.9893053770065308,6.1301960945129395
ENSG00000124608_AARS2,70988.0,0.44006139039993286,1.2019239664077759,0.0,0.0,0.0,0.0,5.3791728019714355
ENSG00000266967_AARSD1,70988.0,0.7925779223442078,1.5443103313446045,0.0,0.0,0.0,0.0,5.470009803771973
ENSG00000157426_AASDH,70988.0,1.4419376850128174,1.9012842178344727,0.0,0.0,0.0,3.651998519897461,5.79250431060791
ENSG00000149313_AASDHPPT,70988.0,3.1560728549957275,1.9747073650360107,0.0,0.0,4.0108795166015625,4.572567701339722,6.384462356567383
ENSG00000008311_AASS,70988.0,0.2189652919769287,0.8795930743217468,0.0,0.0,0.0,0.0,5.71561861038208
ENSG00000215458_AATBC,70988.0,0.01841714419424534,0.26005348563194275,0.0,0.0,0.0,0.0,5.036792755126953
ENSG00000275700_AATF,70988.0,3.2523205280303955,1.9437545537948608,0.0,0.0,4.073292255401611,4.611760139465332,6.147456645965576
ENSG00000181409_AATK,70988.0,0.05497219040989876,0.45063790678977966,0.0,0.0,0.0,0.0,5.208040237426758
ENSG00000281376_ABALON,70988.0,0.02834535576403141,0.3222965896129608,0.0,0.0,0.0,0.0,5.368063449859619
ENSG00000183044_ABAT,70988.0,0.1840929090976715,0.8187724351882935,0.0,0.0,0.0,0.0,5.6027116775512695
ENSG00000165029_ABCA1,70988.0,0.037715110927820206,0.3791540861129761,0.0,0.0,0.0,0.0,5.615671157836914
ENSG00000154263_ABCA10,70988.0,0.008928012102842331,0.18670210242271423,0.0,0.0,0.0,0.0,5.089787483215332
ENSG00000251595_ABCA11P,70988.0,0.1332125961780548,0.6931422352790833,0.0,0.0,0.0,0.0,5.273702144622803
ENSG00000179869_ABCA13,70988.0,0.04870052635669708,0.43681561946868896,0.0,0.0,0.0,0.0,5.641361713409424
